train_accuracy,train_adv_accuracy,train_clean_accuracy,train_loss,val_accuracy,val_adv_accuracy,val_clean_accuracy,val_loss
0.353,0.328,0.379,1.78,0.302,0.153,0.451,3.74
0.446,0.397,0.495,1.57,0.318,0.154,0.481,3.7
0.481,0.425,0.537,1.5,0.333,0.142,0.524,3.62
0.499,0.434,0.564,1.45,0.364,0.152,0.577,3.53
0.514,0.446,0.582,1.42,0.395,0.179,0.611,3.31
0.526,0.455,0.597,1.39,0.383,0.179,0.586,3.33
0.538,0.461,0.615,1.36,0.408,0.202,0.614,3.27
0.554,0.475,0.634,1.33,0.399,0.181,0.618,3.35
0.559,0.477,0.642,1.31,0.413,0.199,0.627,3.22
0.576,0.493,0.658,1.28,0.426,0.203,0.648,3.18
0.578,0.493,0.664,1.27,0.433,0.205,0.66,3.13
0.59,0.502,0.677,1.24,0.458,0.221,0.695,3.02
0.597,0.508,0.685,1.22,0.453,0.218,0.688,3.08
0.6,0.51,0.689,1.21,0.459,0.233,0.686,3.06
0.608,0.517,0.699,1.2,0.444,0.221,0.667,3.05
0.609,0.515,0.704,1.18,0.47,0.243,0.696,2.96
0.613,0.52,0.707,1.18,0.472,0.237,0.707,2.93
0.617,0.521,0.712,1.17,0.478,0.25,0.707,2.95
0.621,0.524,0.718,1.15,0.468,0.225,0.71,2.98
0.621,0.523,0.719,1.15,0.469,0.246,0.691,3
0.624,0.526,0.722,1.15,0.47,0.232,0.708,2.98
0.627,0.527,0.726,1.13,0.48,0.253,0.708,2.92
0.628,0.528,0.728,1.13,0.485,0.248,0.722,2.91
0.629,0.529,0.73,1.13,0.486,0.243,0.729,2.87
0.631,0.53,0.732,1.12,0.48,0.246,0.713,2.98
0.633,0.531,0.736,1.11,0.493,0.251,0.736,2.87
0.634,0.532,0.736,1.11,0.483,0.244,0.721,2.91
0.639,0.536,0.742,1.1,0.488,0.253,0.722,2.87
0.641,0.538,0.743,1.09,0.496,0.258,0.733,2.84
0.637,0.532,0.742,1.09,0.495,0.262,0.729,2.88
0.643,0.54,0.746,1.09,0.493,0.236,0.75,2.91
0.643,0.539,0.747,1.08,0.496,0.254,0.737,2.82
0.644,0.539,0.749,1.08,0.496,0.257,0.734,2.85
0.647,0.543,0.752,1.07,0.491,0.243,0.738,2.83
0.646,0.541,0.751,1.07,0.491,0.239,0.743,2.87
0.663,0.552,0.774,1.02,0.516,0.277,0.754,2.74
0.67,0.559,0.78,1.02,0.519,0.284,0.754,2.73
0.669,0.558,0.78,1,0.517,0.278,0.757,2.73
0.672,0.564,0.781,1.01,0.514,0.269,0.76,2.74
0.673,0.565,0.782,0.998,0.526,0.289,0.764,2.7
0.671,0.56,0.782,0.999,0.527,0.278,0.777,2.7
0.676,0.566,0.786,0.995,0.515,0.276,0.754,2.77
0.674,0.565,0.784,0.993,0.526,0.29,0.762,2.71
0.675,0.564,0.787,0.989,0.518,0.283,0.753,2.74
0.677,0.569,0.785,0.984,0.515,0.272,0.757,2.76
0.678,0.567,0.789,0.981,0.527,0.289,0.764,2.67
0.681,0.57,0.792,0.977,0.527,0.287,0.767,2.71
0.693,0.578,0.807,0.942,0.534,0.292,0.776,2.64
0.696,0.581,0.81,0.933,0.543,0.314,0.772,2.64
0.699,0.585,0.812,0.926,0.534,0.286,0.781,2.65
0.7,0.586,0.814,0.92,0.531,0.279,0.782,2.67
0.698,0.581,0.814,0.928,0.539,0.304,0.774,2.64
0.702,0.586,0.817,0.921,0.539,0.291,0.787,2.65
0.702,0.588,0.817,0.913,0.544,0.307,0.782,2.62
0.701,0.585,0.818,0.923,0.544,0.318,0.771,2.62
0.704,0.589,0.819,0.913,0.533,0.293,0.774,2.62
0.704,0.588,0.82,0.912,0.537,0.288,0.786,2.64
0.702,0.585,0.819,0.916,0.545,0.307,0.784,2.6
0.703,0.588,0.819,0.912,0.545,0.307,0.783,2.61
0.706,0.588,0.823,0.905,0.548,0.314,0.782,2.62
0.703,0.586,0.82,0.916,0.546,0.306,0.787,2.6
0.705,0.588,0.822,0.909,0.543,0.329,0.758,2.66
0.706,0.589,0.823,0.898,0.539,0.292,0.786,2.61
0.708,0.592,0.824,0.903,0.54,0.291,0.789,2.66
0.708,0.591,0.825,0.903,0.547,0.326,0.768,2.61
0.707,0.589,0.825,0.905,0.54,0.318,0.761,2.65
0.717,0.596,0.837,0.874,0.556,0.313,0.798,2.57
0.721,0.605,0.837,0.87,0.557,0.332,0.782,2.57
0.72,0.599,0.84,0.866,0.553,0.311,0.795,2.57
0.72,0.6,0.84,0.868,0.55,0.311,0.788,2.57
0.724,0.605,0.843,0.863,0.548,0.312,0.784,2.57
0.722,0.603,0.842,0.864,0.552,0.32,0.785,2.56
0.721,0.602,0.839,0.863,0.555,0.327,0.783,2.58
0.723,0.604,0.843,0.862,0.556,0.315,0.797,2.56
0.727,0.606,0.848,0.85,0.563,0.34,0.787,2.55
0.731,0.61,0.852,0.842,0.559,0.327,0.79,2.54
0.731,0.609,0.854,0.84,0.56,0.334,0.786,2.55
0.733,0.611,0.854,0.837,0.562,0.331,0.792,2.53
0.731,0.61,0.853,0.84,0.557,0.336,0.778,2.55
0.731,0.611,0.85,0.844,0.556,0.33,0.782,2.57
0.732,0.61,0.853,0.836,0.556,0.316,0.796,2.53
0.733,0.61,0.857,0.83,0.557,0.326,0.787,2.53
0.737,0.615,0.859,0.828,0.56,0.324,0.796,2.53
0.737,0.614,0.86,0.826,0.561,0.335,0.787,2.53
0.739,0.617,0.86,0.824,0.558,0.327,0.79,2.53
0.736,0.613,0.859,0.825,0.566,0.325,0.808,2.5
0.736,0.613,0.86,0.825,0.56,0.323,0.797,2.52
0.736,0.614,0.859,0.826,0.565,0.335,0.795,2.52
0.738,0.616,0.859,0.825,0.562,0.336,0.788,2.53
0.735,0.612,0.858,0.826,0.565,0.342,0.789,2.53
0.736,0.615,0.858,0.823,0.564,0.343,0.784,2.52
0.738,0.617,0.86,0.822,0.564,0.333,0.796,2.52
0.739,0.616,0.863,0.816,0.562,0.338,0.787,2.52
0.739,0.617,0.862,0.819,0.565,0.344,0.786,2.52
0.74,0.616,0.863,0.82,0.563,0.344,0.781,2.52
0.741,0.617,0.865,0.816,0.561,0.353,0.77,2.54
0.739,0.614,0.863,0.819,0.566,0.34,0.792,2.52
0.739,0.614,0.863,0.817,0.564,0.326,0.802,2.51
0.743,0.621,0.864,0.814,0.561,0.338,0.784,2.52
0.743,0.621,0.864,0.814,0.563,0.342,0.785,2.52
0.742,0.619,0.864,0.814,0.565,0.338,0.793,2.52
0.739,0.615,0.863,0.815,0.566,0.331,0.8,2.51
0.741,0.617,0.865,0.817,0.57,0.336,0.805,2.5
0.742,0.618,0.866,0.812,0.563,0.332,0.795,2.51
0.74,0.617,0.863,0.812,0.569,0.347,0.79,2.51
0.742,0.62,0.864,0.811,0.564,0.335,0.793,2.52
0.741,0.618,0.863,0.811,0.569,0.336,0.802,2.5
0.742,0.62,0.863,0.812,0.565,0.334,0.795,2.5
0.742,0.619,0.865,0.814,0.562,0.33,0.795,2.51
0.742,0.619,0.865,0.809,0.568,0.341,0.795,2.52
0.744,0.623,0.865,0.809,0.568,0.343,0.794,2.5
0.743,0.621,0.865,0.808,0.565,0.332,0.797,2.52
0.743,0.619,0.867,0.81,0.565,0.334,0.796,2.51
0.742,0.619,0.866,0.809,0.558,0.322,0.793,2.5
0.744,0.619,0.868,0.809,0.561,0.34,0.782,2.52
0.743,0.619,0.867,0.807,0.56,0.344,0.777,2.53
