train_accuracy,train_adv_accuracy,train_clean_accuracy,train_loss,val_accuracy,val_adv_accuracy,val_clean_accuracy,val_loss
0.354,0.328,0.379,1.78,0.461,0.456,0.465,3.02
0.446,0.398,0.494,1.57,0.485,0.481,0.49,2.89
0.481,0.425,0.538,1.49,0.523,0.517,0.529,2.78
0.5,0.436,0.564,1.45,0.584,0.577,0.591,2.65
0.514,0.446,0.582,1.42,0.592,0.588,0.596,2.44
0.525,0.452,0.598,1.39,0.589,0.582,0.596,2.44
0.538,0.463,0.614,1.36,0.613,0.607,0.619,2.33
0.555,0.476,0.633,1.33,0.63,0.624,0.637,2.32
0.561,0.481,0.642,1.31,0.629,0.623,0.635,2.28
0.576,0.492,0.66,1.28,0.625,0.619,0.631,2.25
0.579,0.493,0.665,1.26,0.655,0.648,0.662,2.12
0.589,0.502,0.676,1.24,0.69,0.683,0.696,2.01
0.595,0.506,0.683,1.22,0.682,0.676,0.688,2.06
0.6,0.51,0.691,1.21,0.678,0.671,0.685,2.1
0.608,0.517,0.698,1.19,0.664,0.66,0.668,2.05
0.61,0.516,0.704,1.18,0.691,0.684,0.697,1.98
0.613,0.519,0.706,1.18,0.696,0.69,0.701,1.98
0.617,0.521,0.712,1.17,0.692,0.685,0.7,1.98
0.62,0.523,0.718,1.15,0.713,0.706,0.72,1.93
0.618,0.52,0.717,1.15,0.675,0.669,0.68,2.03
0.623,0.524,0.722,1.14,0.706,0.7,0.712,2.01
0.625,0.524,0.727,1.13,0.715,0.707,0.723,1.93
0.63,0.53,0.73,1.12,0.712,0.706,0.718,1.9
0.628,0.525,0.732,1.12,0.725,0.718,0.732,1.88
0.633,0.533,0.733,1.11,0.714,0.707,0.721,1.94
0.635,0.533,0.737,1.11,0.715,0.708,0.721,1.94
0.635,0.531,0.738,1.11,0.708,0.703,0.714,2
0.637,0.533,0.741,1.09,0.724,0.717,0.731,1.94
0.64,0.537,0.743,1.09,0.727,0.721,0.733,1.92
0.639,0.533,0.744,1.09,0.715,0.709,0.722,1.92
0.641,0.537,0.746,1.09,0.726,0.718,0.734,1.93
0.642,0.538,0.746,1.08,0.729,0.723,0.734,1.82
0.645,0.54,0.75,1.08,0.714,0.706,0.721,1.88
0.647,0.542,0.751,1.08,0.729,0.723,0.736,1.91
0.646,0.54,0.753,1.07,0.749,0.743,0.755,1.81
0.646,0.538,0.754,1.07,0.721,0.715,0.726,1.91
0.646,0.539,0.753,1.08,0.713,0.707,0.719,1.94
0.651,0.546,0.755,1.06,0.729,0.722,0.736,1.86
0.649,0.543,0.755,1.06,0.735,0.728,0.743,1.91
0.651,0.546,0.756,1.06,0.725,0.717,0.732,1.9
0.65,0.545,0.755,1.06,0.741,0.735,0.747,1.82
0.671,0.562,0.781,1.01,0.755,0.749,0.761,1.71
0.67,0.561,0.779,1.01,0.744,0.739,0.749,1.76
0.674,0.566,0.783,0.999,0.744,0.739,0.749,1.82
0.677,0.57,0.784,0.994,0.747,0.742,0.751,1.8
0.678,0.566,0.789,0.986,0.761,0.757,0.765,1.76
0.677,0.568,0.786,0.992,0.751,0.746,0.757,1.79
0.679,0.568,0.79,0.986,0.746,0.741,0.752,1.78
0.68,0.569,0.791,0.979,0.744,0.738,0.751,1.83
0.682,0.573,0.791,0.972,0.753,0.747,0.759,1.73
0.683,0.571,0.796,0.97,0.763,0.757,0.768,1.72
0.681,0.569,0.793,0.977,0.75,0.744,0.755,1.81
0.682,0.573,0.791,0.986,0.762,0.755,0.768,1.75
0.681,0.569,0.792,0.981,0.761,0.754,0.767,1.75
0.682,0.569,0.794,0.974,0.759,0.753,0.765,1.71
0.682,0.573,0.792,0.981,0.758,0.753,0.763,1.72
0.685,0.574,0.797,0.963,0.758,0.75,0.766,1.74
0.698,0.582,0.814,0.928,0.775,0.769,0.782,1.69
0.697,0.584,0.81,0.932,0.764,0.758,0.769,1.78
0.704,0.589,0.819,0.917,0.771,0.766,0.777,1.7
0.7,0.584,0.816,0.925,0.774,0.767,0.781,1.68
0.703,0.588,0.817,0.92,0.75,0.744,0.755,1.79
0.704,0.587,0.82,0.914,0.771,0.765,0.777,1.71
0.703,0.589,0.817,0.92,0.763,0.757,0.769,1.7
0.713,0.595,0.831,0.885,0.773,0.769,0.778,1.7
0.714,0.597,0.831,0.89,0.781,0.775,0.786,1.58
0.712,0.594,0.831,0.888,0.78,0.775,0.786,1.6
0.719,0.604,0.835,0.876,0.771,0.764,0.778,1.66
0.716,0.596,0.836,0.879,0.784,0.779,0.79,1.57
0.717,0.599,0.834,0.88,0.786,0.78,0.791,1.58
0.717,0.598,0.835,0.887,0.779,0.773,0.784,1.6
0.72,0.601,0.839,0.872,0.784,0.777,0.791,1.54
0.718,0.6,0.837,0.878,0.77,0.766,0.774,1.68
0.721,0.602,0.839,0.874,0.782,0.776,0.789,1.61
0.719,0.601,0.837,0.874,0.794,0.788,0.8,1.52
0.717,0.598,0.837,0.882,0.794,0.79,0.799,1.54
0.723,0.604,0.842,0.869,0.785,0.779,0.79,1.57
0.72,0.602,0.838,0.875,0.775,0.769,0.781,1.65
0.719,0.599,0.838,0.874,0.781,0.776,0.786,1.55
0.722,0.604,0.839,0.866,0.773,0.768,0.778,1.68
0.722,0.605,0.839,0.87,0.774,0.767,0.78,1.65
0.722,0.604,0.84,0.869,0.784,0.778,0.79,1.61
0.729,0.609,0.849,0.846,0.788,0.783,0.793,1.63
0.728,0.608,0.849,0.849,0.783,0.776,0.79,1.61
0.73,0.61,0.851,0.843,0.788,0.782,0.794,1.56
0.728,0.608,0.848,0.851,0.789,0.783,0.796,1.58
0.724,0.604,0.844,0.865,0.774,0.768,0.779,1.63
0.73,0.61,0.85,0.845,0.78,0.774,0.785,1.64
0.733,0.612,0.854,0.841,0.784,0.778,0.789,1.61
0.73,0.61,0.85,0.841,0.778,0.772,0.785,1.64
0.733,0.611,0.855,0.836,0.777,0.771,0.783,1.62
0.734,0.613,0.854,0.837,0.789,0.784,0.794,1.58
