train_accuracy,train_adv_accuracy,train_clean_accuracy,train_loss,val_accuracy,val_adv_accuracy,val_clean_accuracy,val_loss
0.249,0.189,0.309,4,0.29,0.208,0.373,3.79
0.298,0.213,0.384,3.74,0.32,0.221,0.419,3.68
0.33,0.229,0.432,3.59,0.346,0.238,0.453,3.51
0.351,0.239,0.463,3.49,0.341,0.23,0.452,3.48
0.361,0.242,0.48,3.42,0.347,0.227,0.466,3.44
0.379,0.249,0.509,3.35,0.38,0.237,0.524,3.34
0.399,0.263,0.534,3.26,0.372,0.235,0.51,3.36
0.411,0.27,0.553,3.19,0.413,0.272,0.554,3.17
0.424,0.276,0.571,3.13,0.421,0.267,0.575,3.12
0.438,0.284,0.592,3.07,0.437,0.282,0.593,3.08
0.446,0.291,0.6,3.03,0.433,0.265,0.601,3.14
0.454,0.294,0.613,2.99,0.439,0.274,0.604,3.05
0.464,0.302,0.627,2.94,0.473,0.304,0.642,2.9
0.472,0.306,0.638,2.91,0.461,0.294,0.628,2.98
0.481,0.31,0.652,2.86,0.48,0.305,0.656,2.87
0.486,0.316,0.657,2.84,0.479,0.303,0.656,2.85
0.494,0.321,0.668,2.8,0.469,0.287,0.65,2.9
0.497,0.32,0.673,2.78,0.484,0.297,0.672,2.8
0.504,0.326,0.681,2.75,0.495,0.311,0.68,2.78
0.508,0.328,0.688,2.73,0.513,0.33,0.696,2.7
0.511,0.329,0.693,2.71,0.491,0.299,0.684,2.8
0.514,0.331,0.697,2.7,0.499,0.311,0.687,2.74
0.519,0.337,0.701,2.68,0.521,0.328,0.713,2.69
0.521,0.338,0.705,2.66,0.524,0.341,0.708,2.66
0.525,0.341,0.709,2.64,0.508,0.317,0.7,2.74
0.528,0.343,0.713,2.63,0.518,0.318,0.718,2.7
0.529,0.342,0.717,2.61,0.521,0.327,0.714,2.7
0.532,0.343,0.721,2.59,0.516,0.314,0.718,2.68
0.532,0.341,0.722,2.58,0.513,0.322,0.703,2.7
0.534,0.342,0.727,2.56,0.52,0.315,0.725,2.67
0.555,0.36,0.751,2.44,0.54,0.336,0.745,2.56
0.558,0.357,0.759,2.4,0.544,0.34,0.749,2.55
0.561,0.358,0.764,2.36,0.543,0.337,0.749,2.58
0.564,0.359,0.768,2.36,0.55,0.345,0.755,2.57
0.566,0.359,0.774,2.32,0.537,0.329,0.746,2.62
0.568,0.359,0.777,2.31,0.532,0.305,0.758,2.64
0.573,0.363,0.783,2.28,0.539,0.335,0.743,2.62
0.578,0.367,0.79,2.25,0.541,0.323,0.758,2.61
0.578,0.363,0.793,2.26,0.543,0.318,0.769,2.59
0.589,0.378,0.799,2.2,0.527,0.301,0.754,2.63
0.608,0.398,0.818,2.1,0.556,0.319,0.793,2.55
0.611,0.4,0.822,2.08,0.548,0.322,0.773,2.56
0.62,0.413,0.828,2.04,0.535,0.327,0.743,2.61
0.617,0.406,0.828,2.06,0.555,0.315,0.795,2.55
0.619,0.409,0.829,2.04,0.502,0.303,0.701,2.7
0.62,0.408,0.833,2.04,0.548,0.313,0.782,2.55
0.628,0.42,0.837,2,0.539,0.326,0.752,2.6
0.648,0.445,0.85,1.92,0.542,0.278,0.807,2.63
0.637,0.425,0.848,1.95,0.553,0.305,0.801,2.55
0.649,0.445,0.852,1.91,0.543,0.258,0.828,2.71
0.647,0.441,0.853,1.91,0.552,0.29,0.814,2.58
0.655,0.454,0.855,1.88,0.542,0.265,0.819,2.68
0.647,0.439,0.855,1.92,0.551,0.323,0.779,2.55
0.68,0.497,0.864,1.79,0.537,0.295,0.78,2.6
0.649,0.435,0.862,1.9,0.554,0.331,0.777,2.54
0.677,0.485,0.868,1.79,0.494,0.275,0.713,2.72
0.66,0.453,0.866,1.85,0.503,0.303,0.703,2.7
