train_accuracy,train_adv_accuracy,train_clean_accuracy,train_loss,val_accuracy,val_adv_accuracy,val_clean_accuracy,val_loss
0.383,0.374,0.393,3.29,0.459,0.441,0.477,2.9
0.528,0.511,0.546,2.55,0.542,0.521,0.562,2.52
0.594,0.574,0.614,2.24,0.586,0.562,0.61,2.35
0.636,0.615,0.657,2.02,0.652,0.628,0.675,1.94
0.663,0.64,0.685,1.88,0.652,0.629,0.674,1.94
0.685,0.663,0.706,1.77,0.712,0.692,0.732,1.69
0.702,0.679,0.725,1.67,0.701,0.675,0.728,1.69
0.719,0.696,0.742,1.58,0.691,0.669,0.713,1.71
0.734,0.711,0.756,1.51,0.704,0.679,0.729,1.65
0.748,0.726,0.771,1.44,0.753,0.73,0.777,1.43
0.759,0.736,0.781,1.39,0.746,0.723,0.769,1.5
0.77,0.748,0.792,1.33,0.745,0.724,0.767,1.49
0.777,0.753,0.8,1.28,0.765,0.745,0.786,1.4
0.788,0.766,0.811,1.23,0.771,0.749,0.794,1.33
0.794,0.77,0.817,1.18,0.787,0.765,0.808,1.21
0.797,0.775,0.819,1.16,0.802,0.779,0.825,1.17
0.804,0.782,0.827,1.12,0.783,0.759,0.806,1.22
0.81,0.788,0.832,1.09,0.802,0.778,0.826,1.13
0.816,0.795,0.837,1.06,0.783,0.758,0.807,1.27
0.821,0.798,0.843,1.03,0.816,0.795,0.836,1.08
0.824,0.802,0.845,1.01,0.808,0.788,0.828,1.13
0.828,0.806,0.849,0.996,0.807,0.781,0.832,1.11
0.832,0.811,0.854,0.98,0.804,0.78,0.829,1.14
0.835,0.815,0.855,0.949,0.814,0.792,0.835,1.11
0.837,0.815,0.859,0.942,0.802,0.778,0.826,1.15
0.84,0.819,0.861,0.923,0.818,0.796,0.839,1.05
0.843,0.822,0.864,0.906,0.83,0.808,0.852,0.98
0.847,0.826,0.869,0.887,0.829,0.805,0.853,1
0.847,0.825,0.868,0.881,0.797,0.773,0.821,1.1
0.848,0.827,0.87,0.874,0.818,0.797,0.839,1.1
0.852,0.831,0.872,0.855,0.83,0.804,0.855,0.967
0.854,0.832,0.876,0.84,0.834,0.812,0.856,0.981
0.855,0.835,0.876,0.829,0.827,0.804,0.85,1.02
0.856,0.835,0.877,0.825,0.83,0.807,0.853,0.968
0.859,0.837,0.88,0.813,0.838,0.817,0.859,0.967
0.859,0.839,0.88,0.806,0.831,0.809,0.853,0.984
0.864,0.843,0.885,0.789,0.84,0.819,0.861,0.915
0.864,0.842,0.885,0.786,0.841,0.82,0.862,0.953
0.866,0.845,0.887,0.771,0.838,0.815,0.861,0.922
0.867,0.846,0.888,0.769,0.832,0.809,0.855,0.986
0.869,0.849,0.889,0.754,0.825,0.797,0.852,1.03
0.868,0.848,0.889,0.755,0.852,0.832,0.872,0.91
0.87,0.848,0.891,0.748,0.843,0.821,0.864,0.9
0.872,0.852,0.892,0.736,0.846,0.821,0.871,0.899
0.871,0.851,0.891,0.732,0.841,0.821,0.862,0.928
0.874,0.853,0.895,0.718,0.847,0.822,0.873,0.885
0.876,0.856,0.897,0.711,0.83,0.806,0.854,1.01
0.876,0.856,0.897,0.716,0.84,0.818,0.863,0.89
0.9,0.881,0.919,0.579,0.861,0.838,0.885,0.808
0.904,0.886,0.922,0.554,0.867,0.846,0.887,0.791
0.905,0.886,0.924,0.544,0.868,0.849,0.886,0.801
0.906,0.886,0.925,0.537,0.869,0.847,0.891,0.763
0.908,0.89,0.927,0.524,0.865,0.842,0.887,0.831
0.909,0.891,0.927,0.52,0.866,0.842,0.891,0.79
0.911,0.893,0.93,0.508,0.867,0.844,0.89,0.803
0.909,0.89,0.928,0.513,0.868,0.849,0.887,0.817
0.912,0.894,0.93,0.505,0.852,0.83,0.874,0.879
0.916,0.897,0.934,0.486,0.863,0.839,0.888,0.806
0.929,0.912,0.947,0.408,0.875,0.857,0.894,0.77
0.931,0.914,0.948,0.392,0.877,0.857,0.896,0.766
0.935,0.918,0.952,0.373,0.874,0.856,0.893,0.797
0.934,0.917,0.951,0.378,0.88,0.857,0.903,0.731
0.934,0.916,0.951,0.376,0.874,0.853,0.894,0.763
0.935,0.919,0.952,0.367,0.877,0.856,0.898,0.775
0.936,0.919,0.953,0.363,0.877,0.858,0.896,0.767
0.938,0.921,0.954,0.358,0.874,0.852,0.896,0.775
0.938,0.922,0.954,0.35,0.874,0.854,0.894,0.838
0.938,0.922,0.955,0.348,0.873,0.853,0.893,0.836
0.948,0.933,0.963,0.299,0.877,0.858,0.897,0.806
0.951,0.936,0.965,0.283,0.876,0.856,0.896,0.789
0.951,0.936,0.966,0.282,0.879,0.854,0.903,0.748
0.952,0.937,0.967,0.275,0.88,0.86,0.901,0.806
0.952,0.937,0.966,0.273,0.878,0.856,0.899,0.819
0.952,0.937,0.968,0.272,0.88,0.86,0.899,0.781
0.953,0.938,0.968,0.268,0.876,0.854,0.899,0.855
0.954,0.94,0.968,0.263,0.884,0.866,0.902,0.832
0.955,0.94,0.97,0.256,0.877,0.858,0.895,0.835
0.955,0.94,0.97,0.254,0.881,0.86,0.901,0.813
0.954,0.94,0.969,0.258,0.88,0.86,0.9,0.842
0.957,0.943,0.972,0.247,0.88,0.858,0.902,0.806
0.957,0.942,0.971,0.25,0.881,0.859,0.903,0.84
0.956,0.941,0.971,0.246,0.878,0.857,0.899,0.831
0.962,0.949,0.975,0.218,0.882,0.862,0.903,0.797
0.963,0.949,0.976,0.214,0.885,0.864,0.906,0.816
0.964,0.951,0.977,0.207,0.885,0.864,0.906,0.828
0.963,0.95,0.976,0.213,0.884,0.865,0.903,0.853
0.963,0.949,0.976,0.211,0.885,0.866,0.904,0.833
0.963,0.95,0.977,0.208,0.883,0.865,0.902,0.821
0.964,0.951,0.978,0.204,0.882,0.863,0.902,0.878
0.964,0.951,0.978,0.197,0.88,0.862,0.899,0.846
0.967,0.954,0.98,0.191,0.884,0.862,0.905,0.829
0.968,0.955,0.981,0.185,0.883,0.862,0.904,0.866
0.968,0.955,0.981,0.186,0.884,0.864,0.904,0.85
0.968,0.956,0.981,0.181,0.887,0.864,0.909,0.807
0.969,0.956,0.981,0.179,0.882,0.861,0.903,0.86
0.969,0.956,0.982,0.177,0.879,0.86,0.899,0.868
0.969,0.957,0.981,0.177,0.885,0.865,0.904,0.854
0.969,0.955,0.982,0.175,0.887,0.865,0.909,0.862
0.97,0.958,0.982,0.174,0.885,0.865,0.905,0.893
0.969,0.956,0.982,0.175,0.884,0.863,0.905,0.861
0.97,0.958,0.982,0.169,0.882,0.862,0.902,0.853
0.969,0.956,0.981,0.175,0.886,0.866,0.905,0.818
0.97,0.958,0.982,0.169,0.887,0.866,0.908,0.891
0.97,0.957,0.982,0.172,0.878,0.858,0.899,0.894
0.97,0.958,0.983,0.167,0.883,0.861,0.904,0.864
0.972,0.959,0.984,0.16,0.88,0.86,0.901,0.934
0.971,0.959,0.983,0.162,0.884,0.863,0.906,0.858
0.972,0.96,0.984,0.161,0.883,0.864,0.902,0.857
0.973,0.962,0.985,0.155,0.89,0.87,0.91,0.853
0.973,0.962,0.984,0.158,0.882,0.863,0.901,0.901
0.973,0.961,0.985,0.156,0.881,0.862,0.901,0.905
0.973,0.962,0.985,0.157,0.887,0.865,0.908,0.898
0.972,0.96,0.984,0.16,0.883,0.863,0.903,0.879
0.971,0.96,0.983,0.16,0.884,0.866,0.902,0.934
0.972,0.96,0.985,0.156,0.886,0.868,0.903,0.873
0.972,0.96,0.984,0.162,0.885,0.865,0.905,0.867
0.973,0.962,0.984,0.154,0.882,0.862,0.903,0.907
0.973,0.961,0.985,0.151,0.885,0.866,0.905,0.916
0.973,0.961,0.984,0.156,0.884,0.865,0.904,0.889
0.974,0.962,0.985,0.151,0.88,0.862,0.899,0.858
0.974,0.963,0.985,0.15,0.881,0.857,0.905,0.888
0.974,0.962,0.985,0.151,0.884,0.864,0.904,0.866
0.973,0.961,0.985,0.154,0.888,0.869,0.908,0.883
0.973,0.962,0.985,0.153,0.879,0.86,0.899,0.908
0.973,0.962,0.985,0.153,0.888,0.869,0.906,0.907
